id,zone_name,latitude,longitude,code,status,meta,created_at,updated_at
16,Luton Airport,51.8769697,-0.3763741,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.39089,51.87188],[-0.3917,51.87103],[-0.39314,51.87005],[-0.39148,51.86981],[-0.38698,51.87059],[-0.38505,51.86962],[-0.38063,51.87014],[-0.3743,51.87183],[-0.37231,51.87165],[-0.36971,51.87187],[-0.36836,51.87301],[-0.35059,51.87612],[-0.35005,51.87708],[-0.34997,51.87818],[-0.35283,51.87886],[-0.35473,51.87855],[-0.36086,51.87993],[-0.36163,51.8817],[-0.36536,51.88022],[-0.36983,51.88433],[-0.37128,51.88416],[-0.37314,51.886],[-0.37923,51.88459],[-0.38045,51.88225],[-0.38496,51.87993],[-0.38553,51.87988],[-0.3861,51.87984],[-0.38673,51.87979],[-0.3873,51.87973],[-0.38768,51.87969],[-0.38764,51.87896],[-0.38815,51.87667],[-0.3887,51.87531],[-0.38943,51.87372],[-0.39089,51.87188]]]}}",2026-02-11 13:23:13,2026-02-11 13:23:13
17,Harry potter studio watford North Waford,51.6760736,-0.4158905,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.44357,51.7021],[-0.44976,51.69847],[-0.45887,51.69345],[-0.48171,51.68288],[-0.5018,51.67369],[-0.50799,51.66801],[-0.48040279357911775,51.66691479197962],[-0.46620517456055666,51.659217783447076],[-0.45467,51.65654],[-0.43851,51.66088],[-0.42849,51.66276],[-0.42047,51.65841],[-0.4171,51.6601],[-0.4103,51.66328],[-0.40357,51.66452],[-0.40016,51.66464],[-0.39975,51.66467],[-0.39935,51.66473],[-0.39856,51.66485],[-0.39775,51.66496],[-0.39698,51.66513],[-0.39096,51.66583],[-0.38357,51.66814],[-0.37687,51.66982],[-0.37222,51.67347],[-0.36706,51.67378],[-0.36929,51.68033],[-0.36911,51.68581],[-0.36962,51.69112],[-0.37047,51.69644],[-0.38192,51.70135],[-0.39544,51.70435],[-0.41531,51.70872],[-0.42247,51.70714],[-0.44357,51.7021]]]}}",2026-02-11 13:23:13,2026-02-11 13:23:13
18,Stantonbury Milton keynes,52.0671361,-0.7789161,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.79638,52.06973],[-0.79602,52.06911],[-0.79572,52.06632],[-0.79426,52.06451],[-0.79336,52.06345],[-0.79276,52.06281],[-0.79211,52.06207],[-0.791,52.06109],[-0.78987,52.0598],[-0.78893,52.05869],[-0.7851,52.05385],[-0.77549,52.05641],[-0.77155,52.05732],[-0.76614,52.05852],[-0.75594,52.0613],[-0.74901,52.06289],[-0.73924,52.06663],[-0.73986,52.06658],[-0.74052,52.06699],[-0.74136,52.06762],[-0.75046,52.07859],[-0.76402,52.07608],[-0.77814,52.07539],[-0.78842,52.07421],[-0.78855,52.07403],[-0.78863,52.0739],[-0.78937,52.07389],[-0.79028,52.0734],[-0.79131,52.07316],[-0.79249,52.07299],[-0.7942,52.07248],[-0.79727,52.07166],[-0.79647,52.07002],[-0.79638,52.06973]]]}}",2026-02-11 13:23:13,2026-02-11 13:23:13
20,Alyesbury,51.8148774,-0.8375584,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.9048,51.80091],[-0.89984,51.793],[-0.89443,51.78536],[-0.88311,51.7697],[-0.87234,51.75579],[-0.83851,51.75933],[-0.82016,51.76315],[-0.78396,51.77305],[-0.73238,51.78466],[-0.69722,51.79056],[-0.71122,51.82261],[-0.7464,51.84869],[-0.76215,51.87458],[-0.81658,51.87501],[-0.87803,51.86569],[-0.88885,51.86367],[-0.93028,51.87016],[-0.92808,51.85433],[-0.92527,51.83242],[-0.9048,51.80091]]]}}",2026-02-11 13:23:13,2026-02-11 13:23:13
21,Coventry,52.4179761,-1.5028785,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-1.5479174435424792,52.412014721373716],[-1.5441594857788066,52.41042641560186],[-1.537044570312498,52.40813495492627],[-1.5341782739257792,52.40335609850774],[-1.5318695971679719,52.40216845599164],[-1.5249913116455027,52.39458847602092],[-1.515278213958744,52.39139461979191],[-1.5110762432861313,52.39338622267176],[-1.507076253967281,52.39427069159509],[-1.493806550292962,52.39253631861822],[-1.4873195663452154,52.39104052571163],[-1.482059053192133,52.39031880059092],[-1.4790730532836993,52.391063722018],[-1.4721358073425428,52.39347392303042],[-1.4673443286132803,52.39661722323874],[-1.4603615350341825,52.40447237915901],[-1.459067175292974,52.41155746565364],[-1.4583761117553795,52.41383080340982],[-1.4591441699218666,52.41563287089384],[-1.461636773071291,52.41784092327421],[-1.4667463229370026,52.41953198239772],[-1.4695976086425833,52.420603606612325],[-1.4731685186767507,52.42252426963788],[-1.4743163598632902,52.42420714627011],[-1.4743288002777089,52.42534073344934],[-1.4756287010192959,52.426474291479515],[-1.4781426718139734,52.42868898500226],[-1.4801665393066488,52.43120795681386],[-1.4819932165527328,52.43375930295534],[-1.484161586914059,52.43573649308819],[-1.4901882641601505,52.43739612473803],[-1.493771555175778,52.43804578308287],[-1.49834149169922,52.43894388363821],[-1.502921523437506,52.43838518429498],[-1.5037750048828036,52.43687936181058],[-1.5057442852783165,52.435739776643864],[-1.5061535841369622,52.43484099397097],[-1.5112477719116146,52.43469085926524],[-1.521811393585213,52.4353418655204],[-1.5280357666015587,52.43562025198899],[-1.5320773512268082,52.435768532414244],[-1.538616396179202,52.43534121236367],[-1.552642316894528,52.43246595722581],[-1.5508793908691265,52.42610973351978],[-1.5544379675292919,52.421008872858515],[-1.5547926712036242,52.42016730773993],[-1.5508558404541084,52.416446589400124],[-1.549708507080081,52.4134585080526],[-1.5479174435424792,52.412014721373716]]]}}",2026-02-11 13:23:13,2026-02-11 13:23:13
23,CAPABILITY GREEN,51.8741911,-0.4216316,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.42234,51.8556],[-0.39039,51.87283],[-0.3890337988281267,51.87481771142978],[-0.3992647406005778,51.875586595569125],[-0.40468061889647133,51.87893831520447],[-0.40713533843992344,51.87802457279019],[-0.41038399185180374,51.87574636059135],[-0.4148410518014378,51.87652794658392],[-0.41739144685804197,51.87608416859038],[-0.4190406196856422,51.87606429882297],[-0.4226761522436018,51.87696510399286],[-0.4305909475231151,51.878024855095056],[-0.4374083157920827,51.87891238707575],[-0.44074954117774956,51.88050856261659],[-0.44537822689056483,51.88099205186618],[-0.45127585853577123,51.878978718498765],[-0.44539,51.87368],[-0.43614,51.86498],[-0.42689,51.85637],[-0.42234,51.8556]]]}}",2026-02-11 13:23:13,2026-02-11 13:23:13
24,Heathrow Airport,51.4711090,-0.4460826,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.50018,51.4841],[-0.5063967407226722,51.46905385498972],[-0.51742,51.46149],[-0.44328134540000175,51.454695535154634],[-0.4386233227539038,51.45949792117398],[-0.40555,51.47202],[-0.39533,51.47529],[-0.4017916534423893,51.48019410363703],[-0.40617,51.48364],[-0.50018,51.4841]]]}}",2026-02-11 13:23:13,2026-02-11 13:23:13
26,Gatwick Airport,51.1502144,-0.1816222,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.14556,51.169],[-0.19272,51.16402],[-0.22029,51.15972],[-0.21621,51.13941],[-0.19247,51.14131],[-0.18331,51.14244],[-0.1762,51.14271],[-0.16336,51.14486],[-0.14448,51.14846],[-0.14556,51.169]]]}}",2026-02-11 13:23:13,2026-02-11 13:23:13
34,Hemel Hempstead,51.7538787,-0.4709067,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.50683,51.73749],[-0.50148,51.73001],[-0.48995,51.72849],[-0.45726,51.72714],[-0.40694,51.72918],[-0.39369,51.7311],[-0.39723,51.73826],[-0.42754,51.78134],[-0.44913,51.78759],[-0.47209,51.78557],[-0.49625,51.78609],[-0.51766,51.77238],[-0.51899,51.76616],[-0.51602,51.75909],[-0.51254,51.74829],[-0.50683,51.73749]]]}}",2026-02-11 13:23:13,2026-02-11 13:23:13
36,Harpenden,51.8179163,-0.3514889,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.36839,51.82425],[-0.37699,51.81925],[-0.37663,51.81546],[-0.37561,51.81009],[-0.37095,51.80551],[-0.35938,51.80417],[-0.352,51.80522],[-0.34545,51.80685],[-0.34202,51.80798],[-0.33904,51.81018],[-0.33712,51.81149],[-0.33368,51.81555],[-0.32888,51.8243],[-0.33207,51.82662],[-0.33566,51.8288],[-0.34254,51.8318],[-0.34901,51.83275],[-0.35392,51.83138],[-0.35895,51.82876],[-0.36839,51.82425]]]}}",2026-02-11 13:23:13,2026-02-11 13:23:13
